model,run,sample_idx,sample_text,latency_s,parse_ok,suggestions_count,has_personalized_reply,raw_text_snippet,error
gemma3,1,0,The onboarding was confusing and my manager didn't explain expectations.,15.306,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:29.625497Z' done=True done_reason='length' total_duration=15239678000 load_duration=8671735900 prompt_eval_count=144 prompt_eval_duration=320753200 eval_count=180 eval_duration=6137976400 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""sc",
gemma3,1,1,Great mentoring from senior devs — I'm learning a lot!,6.098,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:35.7826396Z' done=True done_reason='stop' total_duration=6095304600 load_duration=588845400 prompt_eval_count=144 prompt_eval_duration=48675600 eval_count=163 eval_duration=5413730500 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score""",
gemma3,1,2,Work-life balance is good but weekends are often required unexpectedly.,7.4,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:43.1820789Z' done=True done_reason='length' total_duration=7396061600 load_duration=488882300 prompt_eval_count=144 prompt_eval_duration=50839600 eval_count=180 eval_duration=6745805500 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
gemma3,2,0,The onboarding was confusing and my manager didn't explain expectations.,6.674,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:49.8565576Z' done=True done_reason='length' total_duration=6670227000 load_duration=572613400 prompt_eval_count=144 prompt_eval_duration=47289800 eval_count=180 eval_duration=5987041600 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""scor",
gemma3,2,1,Great mentoring from senior devs — I'm learning a lot!,5.862,False,0,False,"model='gemma3' created_at='2025-10-24T08:14:55.7199715Z' done=True done_reason='stop' total_duration=5859155000 load_duration=528938700 prompt_eval_count=144 prompt_eval_duration=42615000 eval_count=163 eval_duration=5237412000 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score""",
gemma3,2,2,Work-life balance is good but weekends are often required unexpectedly.,6.453,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:02.1716325Z' done=True done_reason='length' total_duration=6448914600 load_duration=572765200 prompt_eval_count=144 prompt_eval_duration=44371900 eval_count=180 eval_duration=5781811100 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
gemma3,3,0,The onboarding was confusing and my manager didn't explain expectations.,6.387,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:08.5592792Z' done=True done_reason='length' total_duration=6383767100 load_duration=548454700 prompt_eval_count=144 prompt_eval_duration=45072300 eval_count=180 eval_duration=5704088400 response='```json\n{\n ""sentiment"": {\n  ""label"": ""negative"",\n  ""scor",
gemma3,3,1,Great mentoring from senior devs — I'm learning a lot!,5.89,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:14.450274Z' done=True done_reason='stop' total_duration=5887358200 load_duration=575313200 prompt_eval_count=144 prompt_eval_duration=42842000 eval_count=163 eval_duration=5213841500 response='```json\n{\n ""sentiment"": {\n  ""label"": ""positive"",\n  ""score"":",
gemma3,3,2,Work-life balance is good but weekends are often required unexpectedly.,6.387,False,0,False,"model='gemma3' created_at='2025-10-24T08:15:20.8363606Z' done=True done_reason='length' total_duration=6382912600 load_duration=553520400 prompt_eval_count=144 prompt_eval_duration=45151700 eval_count=180 eval_duration=5727687700 response='```json\n{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    """,
mistral:7b-instruct,1,0,The onboarding was confusing and my manager didn't explain expectations.,20.913,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:15:41.7487317Z' done=True done_reason='length' total_duration=20908670900 load_duration=7345571200 prompt_eval_count=165 prompt_eval_duration=403938600 eval_count=180 eval_duration=13090115300 response=' {\n  ""sentiment"": {\n    ""label"": ""negativ",
mistral:7b-instruct,1,1,Great mentoring from senior devs — I'm learning a lot!,14.119,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:15:55.86817Z' done=True done_reason='length' total_duration=14115063400 load_duration=43697000 prompt_eval_count=165 prompt_eval_duration=447617500 eval_count=180 eval_duration=13588116500 response=' {\n  ""sentiment"": {\n    ""label"": ""positive"",\",
mistral:7b-instruct,1,2,Work-life balance is good but weekends are often required unexpectedly.,14.025,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:16:09.8935963Z' done=True done_reason='length' total_duration=14021415500 load_duration=46499300 prompt_eval_count=165 prompt_eval_duration=393198700 eval_count=180 eval_duration=13518458700 response=' {\n  ""sentiment"": {\n    ""label"": ""positive""",
mistral:7b-instruct,2,0,The onboarding was confusing and my manager didn't explain expectations.,14.181,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:16:24.0744842Z' done=True done_reason='length' total_duration=14177045400 load_duration=42788200 prompt_eval_count=165 prompt_eval_duration=382579000 eval_count=180 eval_duration=13711178200 response=' {\n  ""sentiment"": {\n    ""label"": ""negative""",
mistral:7b-instruct,2,1,Great mentoring from senior devs — I'm learning a lot!,14.093,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:16:38.1685176Z' done=True done_reason='length' total_duration=14091078800 load_duration=48864600 prompt_eval_count=165 prompt_eval_duration=387630100 eval_count=180 eval_duration=13597250000 response=' {\n  ""sentiment"": {\n    ""label"": ""positive""",
mistral:7b-instruct,2,2,Work-life balance is good but weekends are often required unexpectedly.,14.185,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:16:52.353783Z' done=True done_reason='length' total_duration=14181781000 load_duration=43951200 prompt_eval_count=165 prompt_eval_duration=393341100 eval_count=180 eval_duration=13670551000 response=' {\n  ""sentiment"": {\n    ""label"": ""positive"",",
mistral:7b-instruct,3,0,The onboarding was confusing and my manager didn't explain expectations.,14.157,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:17:06.5106486Z' done=True done_reason='length' total_duration=14153806600 load_duration=44007300 prompt_eval_count=165 prompt_eval_duration=385235200 eval_count=180 eval_duration=13644051900 response=' {\n  ""sentiment"": {\n    ""label"": ""negative""",
mistral:7b-instruct,3,1,Great mentoring from senior devs — I'm learning a lot!,14.121,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:17:20.6327625Z' done=True done_reason='length' total_duration=14117878600 load_duration=45140400 prompt_eval_count=165 prompt_eval_duration=404997100 eval_count=180 eval_duration=13602852200 response=' {\n  ""sentiment"": {\n    ""label"": ""positive""",
mistral:7b-instruct,3,2,Work-life balance is good but weekends are often required unexpectedly.,14.301,False,0,False,"model='mistral:7b-instruct' created_at='2025-10-24T08:17:34.9336269Z' done=True done_reason='length' total_duration=14298181600 load_duration=39431900 prompt_eval_count=165 prompt_eval_duration=386942000 eval_count=180 eval_duration=13817921700 response=' {\n  ""sentiment"": {\n    ""label"": ""positive""",
llama3.1:8b,1,0,The onboarding was confusing and my manager didn't explain expectations.,28.392,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:18:03.3258317Z' done=True done_reason='length' total_duration=28388213500 load_duration=9617485300 prompt_eval_count=139 prompt_eval_duration=631413100 eval_count=180 eval_duration=18034822600 response=""```python\nimport json\nfrom nltk.sentiment import ",
llama3.1:8b,1,1,Great mentoring from senior devs — I'm learning a lot!,8.595,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:18:11.9232978Z' done=True done_reason='stop' total_duration=8592674900 load_duration=273226800 prompt_eval_count=138 prompt_eval_duration=473932000 eval_count=73 eval_duration=7799916300 response='{\n ""sentiment"":{""label"":""positive"",""score"":0.9},\n ""aspe",
llama3.1:8b,1,2,Work-life balance is good but weekends are often required unexpectedly.,15.701,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:18:27.6244877Z' done=True done_reason='stop' total_duration=15699569800 load_duration=285813800 prompt_eval_count=138 prompt_eval_duration=494209400 eval_count=136 eval_duration=14848751800 response='{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    ""sco",
llama3.1:8b,2,0,The onboarding was confusing and my manager didn't explain expectations.,18.485,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:18:46.1088944Z' done=True done_reason='stop' total_duration=18482568600 load_duration=286810000 prompt_eval_count=139 prompt_eval_duration=547022400 eval_count=162 eval_duration=17571125800 response='{\n  ""sentiment"": {\n    ""label"": ""negative"",\n    ""sc",
llama3.1:8b,2,1,Great mentoring from senior devs — I'm learning a lot!,8.689,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:18:54.7991044Z' done=True done_reason='stop' total_duration=8687564700 load_duration=281814700 prompt_eval_count=138 prompt_eval_duration=516276300 eval_count=73 eval_duration=7843682500 response='{\n ""sentiment"":{""label"":""positive"",""score"":0.9},\n ""aspe",
llama3.1:8b,2,2,Work-life balance is good but weekends are often required unexpectedly.,15.5,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:19:10.299526Z' done=True done_reason='stop' total_duration=15498028600 load_duration=271268500 prompt_eval_count=138 prompt_eval_duration=487921100 eval_count=136 eval_duration=14663562400 response='{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    ""scor",
llama3.1:8b,3,0,The onboarding was confusing and my manager didn't explain expectations.,18.589,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:19:28.8877343Z' done=True done_reason='stop' total_duration=18585476100 load_duration=257903300 prompt_eval_count=139 prompt_eval_duration=546390800 eval_count=162 eval_duration=17702587700 response='{\n  ""sentiment"": {\n    ""label"": ""negative"",\n    ""sc",
llama3.1:8b,3,1,Great mentoring from senior devs — I'm learning a lot!,8.702,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:19:37.5911563Z' done=True done_reason='stop' total_duration=8699142100 load_duration=270731100 prompt_eval_count=138 prompt_eval_duration=498285400 eval_count=73 eval_duration=7883867600 response='{\n ""sentiment"":{""label"":""positive"",""score"":0.9},\n ""aspe",
llama3.1:8b,3,2,Work-life balance is good but weekends are often required unexpectedly.,15.508,False,0,False,"model='llama3.1:8b' created_at='2025-10-24T08:19:53.0999141Z' done=True done_reason='stop' total_duration=15505930400 load_duration=256929100 prompt_eval_count=138 prompt_eval_duration=508173600 eval_count=136 eval_duration=14664966900 response='{\n  ""sentiment"": {\n    ""label"": ""neutral"",\n    ""sco",
